plasmid	contig	contig_len
GT_2	25	42005
GT_2	27	34660
GT_2	34	21941
GT_2	37	19191
GT_2	41	13975
GT_2	42	12565
GT_2	44	12138
GT_2	45	11671
GT_2	50	4943
GT_2	61	2577
GT_2	67	1323
GT_2	83	730
GT_2	85	630
GT_2	87	532
GT_2	88	532
GT_2	93	496
GT_2	96	438
GT_2	98	421
GT_2	99	420
GT_2	102	403
GT_2	111	339
GT_2	113	335
GT_2	114	331
GT_2	125	276
GT_2	129	265
GT_2	131	261
GT_2	132	257
GT_2	134	249
GT_2	136	244
GT_2	139	238
GT_2	140	221
GT_2	141	221
GT_2	146	210
GT_2	147	210
GT_2	148	203
GT_2	150	203
GT_2	152	194
GT_2	160	174
GT_2	161	173
GT_2	162	172
GT_2	163	167
GT_2	177	148
GT_2	178	148
GT_2	181	145
GT_2	183	138
GT_2	184	136
GT_2	185	135
GT_2	187	133
GT_2	190	130
GT_2	191	130
GT_2	194	122
GT_2	197	118
GT_2	201	111
GT_2	202	111
GT_2	203	111

GT_3	48	6655

GT_4	63	2096

GT_5	65	1552

