plasmid	contig	contig_len
HY_plasmid_0	87	4943
HY_plasmid_0	171	355

HY_plasmid_2	65	10888
HY_plasmid_2	420	47
HY_plasmid_2	185	307
HY_plasmid_2	270	150
HY_plasmid_2	174	346
HY_plasmid_2	182	311
HY_plasmid_2	336	107

HY_plasmid_3	82	5569

HY_plasmid_4	160	439
HY_plasmid_4	23	75230
HY_plasmid_4	345	102
HY_plasmid_4	122	905
HY_plasmid_4	395	60
HY_plasmid_4	313	120
HY_plasmid_4	310	123
HY_plasmid_4	137	618
HY_plasmid_4	346	100
HY_plasmid_4	431	34
HY_plasmid_4	225	226
HY_plasmid_4	303	124
HY_plasmid_4	284	138
HY_plasmid_4	344	102
HY_plasmid_4	62	13998
HY_plasmid_4	452	12
HY_plasmid_4	381	70

HY_plasmid_5	331	108
HY_plasmid_5	147	544
HY_plasmid_5	349	100
HY_plasmid_5	379	70
HY_plasmid_5	205	261
HY_plasmid_5	343	102
HY_plasmid_5	149	526
HY_plasmid_5	251	188
HY_plasmid_5	74	7304
HY_plasmid_5	289	135
HY_plasmid_5	412	51
HY_plasmid_5	378	72
HY_plasmid_5	198	271
HY_plasmid_5	434	26
HY_plasmid_5	365	84
HY_plasmid_5	166	391

HY_plasmid_6	417	48
HY_plasmid_6	31	58051
HY_plasmid_6	253	179
HY_plasmid_6	35	54622
HY_plasmid_6	420	47
HY_plasmid_6	185	307
HY_plasmid_6	91	3634
HY_plasmid_6	432	28

HY_plasmid_7	237	209
HY_plasmid_7	129	730
HY_plasmid_7	311	122
HY_plasmid_7	393	61
HY_plasmid_7	232	213
HY_plasmid_7	58	17575
HY_plasmid_7	185	307
HY_plasmid_7	270	150
HY_plasmid_7	174	346
HY_plasmid_7	182	311
HY_plasmid_7	336	107

HY_plasmid_9	259	163
HY_plasmid_9	406	53
HY_plasmid_9	421	45
HY_plasmid_9	303	124
HY_plasmid_9	226	226
HY_plasmid_9	431	34
HY_plasmid_9	346	100
HY_plasmid_9	55	20988
HY_plasmid_9	420	47
HY_plasmid_9	185	307
HY_plasmid_9	270	150
HY_plasmid_9	174	346
HY_plasmid_9	182	311
HY_plasmid_9	336	107

HY_plasmid_20	418	48
HY_plasmid_20	103	2014
HY_plasmid_20	279	139
HY_plasmid_20	165	391
HY_plasmid_20	365	84

HY_plasmid_22	171	355
HY_plasmid_22	38	52587
HY_plasmid_22	418	48

HY_plasmid_23	160	439
HY_plasmid_23	69	8516
HY_plasmid_23	141	595
HY_plasmid_23	61	15167
HY_plasmid_23	273	149
HY_plasmid_23	240	196

HY_plasmid_24	100	2089

HY_plasmid_25	307	124
HY_plasmid_25	16	92325
HY_plasmid_25	418	48

HY_plasmid_26	132	659
HY_plasmid_26	345	102
HY_plasmid_26	122	905
HY_plasmid_26	252	180
HY_plasmid_26	310	123
HY_plasmid_26	85	5285
HY_plasmid_26	254	176
HY_plasmid_26	380	70
HY_plasmid_26	177	325
HY_plasmid_26	288	136
HY_plasmid_26	168	387
HY_plasmid_26	231	216
HY_plasmid_26	328	111
HY_plasmid_26	219	233

HY_plasmid_33	329	110
HY_plasmid_33	360	88
HY_plasmid_33	121	940
HY_plasmid_33	118	1004

HY_plasmid_38	233	213
HY_plasmid_38	341	104
HY_plasmid_38	435	23
HY_plasmid_38	383	70
HY_plasmid_38	323	114
HY_plasmid_38	459	9
HY_plasmid_38	94	2861
HY_plasmid_38	238	200
HY_plasmid_38	382	70

HY_plasmid_39	341	104
HY_plasmid_39	437	22
HY_plasmid_39	400	57
HY_plasmid_39	448	13
HY_plasmid_39	323	114
HY_plasmid_39	458	9
HY_plasmid_39	94	2861
HY_plasmid_39	170	362

