plasmid	contig	contig_len
HY_plasmid_0	66	2256

HY_plasmid_1	62	3609

HY_plasmid_2	243	111
HY_plasmid_2	297	18
HY_plasmid_2	119	461
HY_plasmid_2	230	135
HY_plasmid_2	262	61
HY_plasmid_2	28	60126

HY_plasmid_3	189	184
HY_plasmid_3	114	502
HY_plasmid_3	44	23172
HY_plasmid_3	159	229
HY_plasmid_3	277	35
HY_plasmid_3	129	387

HY_plasmid_4	47	20378
HY_plasmid_4	108	577
HY_plasmid_4	37	36532

HY_plasmid_6	70	1573

HY_plasmid_7	243	111
HY_plasmid_7	157	243
HY_plasmid_7	119	461
HY_plasmid_7	54	8987
HY_plasmid_7	262	61
HY_plasmid_7	230	135

HY_plasmid_10	80	1201
HY_plasmid_10	9	178273
HY_plasmid_10	243	111
HY_plasmid_10	119	461
HY_plasmid_10	230	135
HY_plasmid_10	262	61
HY_plasmid_10	18	89198

