plasmid	contig	contig_len
HY_plasmid_0	80	2735
HY_plasmid_0	362	43
HY_plasmid_0	26	52232
HY_plasmid_0	84	2639
HY_plasmid_0	94	1932

HY_plasmid_1	72	3871
HY_plasmid_1	350	62

HY_plasmid_2	350	62
HY_plasmid_2	65	6095
HY_plasmid_2	396	10
HY_plasmid_2	279	134

HY_plasmid_3	250	155
HY_plasmid_3	301	107
HY_plasmid_3	350	62
HY_plasmid_3	58	9802

HY_plasmid_5	213	200
HY_plasmid_5	137	519
HY_plasmid_5	257	143
HY_plasmid_5	53	14055
HY_plasmid_5	360	43
HY_plasmid_5	191	242
HY_plasmid_5	266	138

HY_plasmid_7	368	40
HY_plasmid_7	345	64
HY_plasmid_7	49	15520
HY_plasmid_7	346	64
HY_plasmid_7	380	24
HY_plasmid_7	279	134
HY_plasmid_7	371	31
HY_plasmid_7	315	88
HY_plasmid_7	344	64
HY_plasmid_7	250	155
HY_plasmid_7	301	107

HY_plasmid_9	112	1053
HY_plasmid_9	400	8
HY_plasmid_9	99	1633
HY_plasmid_9	284	132
HY_plasmid_9	374	30
HY_plasmid_9	84	2639
HY_plasmid_9	44	18417
HY_plasmid_9	325	76
HY_plasmid_9	378	27
HY_plasmid_9	380	24
HY_plasmid_9	279	134
HY_plasmid_9	371	31
HY_plasmid_9	315	88
HY_plasmid_9	344	64
HY_plasmid_9	250	155
HY_plasmid_9	301	107
HY_plasmid_9	350	62
HY_plasmid_9	28	43587
HY_plasmid_9	261	141

HY_plasmid_10	101	1552

HY_plasmid_11	61	6647

HY_plasmid_12	103	1506

HY_plasmid_30	343	65
HY_plasmid_30	76	3031

